from,to,weight
Platzeck,SPD,3
Pofalla,Industrie,3
Pofalla,CDU,3
Praetorius,Wissenschaft,3
Tillich,CDU,3
Hasselfeldt,CSU,2
Kampeter,Verband,2
Kampeter,CDU,2
Kapferer,Verband,2
Kempf,Verband,2
Nemat,Industrie,2
Reiche,Verband,2
Reiche,CDU,2
Roestel,Energieunternehmen,2
Roestel,Gruene,2
Schweitzer,Industrie,2
Schweitzer,Verband,2
Grothus,Regionalvertreter,2
Wodtke,CDU,2
Wodtke,Regionalvertreter,2
Herntier,Regionalvertreter,2
Kreuzberg,Regionalvertreter,2
Kreuzberg,CDU,2
Priggen,Regionalvertreter,2
Priggen,Gruene,2
Vassiliadis,Gewerkschaft,2
Vassiliadis,SPD,2
Scheidt,Gewerkschaft,2
Scheidt,SPD,2
Scheidt,Energieunternehmen,2
Koerzell,Gewerkschaft,2
Koerzell,SPD,2
Kaiser,Umweltschutz,2
Weiger,Umweltschutz,2
Niebert,Umweltschutz,2
Allmendinger,Wissenschaft,2
Matthes,Wissenschaft,2
Schellnhuber,Wissenschaft,2
Niebuhr,Wissenschaft,2
Wehrspohn,Wissenschaft,2
Laemmel,CDU,1
Lenz,CSU,1
Miersch,SPD,1
