from,to,weight
Platzeck,11,3
Pofalla,5,3
Pofalla,9,3
Praetorius,7,3
Tillich,9,3
Hasselfeldt,NA,2
Hasselfeldt,10,2
Kampeter,3,2
Kampeter,9,2
Kapferer,2,2
Kapferer,NA,2
Kempf,2,2
Nemat,5,2
Reiche,2,2
Reiche,9,2
Roestel,6,2
Roestel,6,2
Roestel,12,2
Schweitzer,5,2
Schweitzer,2,2
Grothus,8,2
Wodtke,8,2
Herntier,8,2
Kreuzberg,8,2
Priggen,4,2
Vassiliadis,3,2
Vassiliadis,11,2
Scheidt,3,2
Scheidt,11,2
Scheidt,6,2
Koerzell,3,2
Koerzell,11,2
Kaiser,4,2
Weiger,4,2
Niebert,4,2
Allmendinger,7,2
Matthes,7,2
Schellnhuber,7,2
Niebuhr,7,2
Wehrspohn,7,2
Laemmel,9,1
Lenz,10,1
Miersch,11,1
